case_id,court_type,case_type,document_text,num_words,num_sentences,avg_sentence_length,num_clauses,risk_score,contains_penalty_clause,contains_liability_clause,contains_arbitration_clause,legal_complexity_score,readability_score,tfidf_feature_1,tfidf_feature_2,tfidf_feature_3,named_entities_count,judgement_length,risk_label
CASE_551,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1473,121,20.736052539751974,38,0.5419561792822746,1,0,1,0.24133331674165426,92.60381683410166,0.5618364070906272,0.7567829407456358,0.12874777605175525,14,788,High
CASE_552,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1372,44,13.628896318895928,20,0.4160568254621375,0,1,0,0.07923410287634547,17.673743691407363,0.2949944339022169,0.0876472446952381,0.28734774678375863,19,3874,Medium
CASE_553,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1668,20,21.70780119872932,25,0.13947782466963254,1,0,1,0.7000614392964997,4.83501523895844,0.02099578823580983,0.9878219222783587,0.6579061343539728,2,3136,Low
CASE_554,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",940,67,15.340086113502203,7,0.748369718616549,0,0,1,0.021337969895619646,15.232820614145604,0.9167471261400522,0.8911331716320218,0.971261719088771,18,4647,Low
CASE_555,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1909,97,12.690158896211559,17,0.8940883137554753,1,1,0,0.9283361618151259,55.25502718339199,0.2352931334349514,0.48937823669539415,0.6352934998724058,2,3700,High
CASE_556,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",232,11,23.539866107903087,14,0.3888601645111206,0,1,1,0.472965116409064,90.20215929601132,0.060122740240348915,0.012285035217068363,0.38493175196122176,16,2443,Low
CASE_557,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1332,89,24.55767000560776,17,0.9277766019279557,1,0,0,0.3180639503521986,30.544409315090803,0.22698132935445925,0.9493532038150256,0.524246170482162,17,1370,Low
CASE_558,District,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1695,49,11.240647728403184,26,0.31768169183499717,0,1,0,0.7904059132963208,55.859637725120045,0.46592386107052797,0.40975267586616093,0.6490116424260414,12,1293,High
CASE_559,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",264,68,16.652502678499125,44,0.36213629846564377,0,0,1,0.6381626521381562,5.928281135936353,0.7192317984742901,0.03987504907877837,0.7055460705737989,4,1106,High
CASE_560,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1250,26,21.134031232188192,33,0.32475674764506113,0,0,0,0.04362087114472968,61.25975542545679,0.2763324223535155,0.5888180798113067,0.8352290164900475,13,920,Low
CASE_561,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1303,131,14.402495891644792,32,0.4348345955034574,0,1,1,0.9749253571353055,53.346074676652755,0.595852417215578,0.5713572864561237,0.404696873775209,10,1505,Medium
CASE_562,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1511,65,12.518331499133648,12,0.16142155001553082,0,0,0,0.5786542752272175,40.597703639233416,0.43040196428210376,0.9754074637298432,0.29753358190251267,16,2837,High
CASE_563,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",790,106,12.271729455800635,26,0.5269639712282224,1,1,0,0.039424299824368236,26.10430499147092,0.19983686220215335,0.07132276605780818,0.8449830488619599,15,3735,High
CASE_564,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1959,20,15.521817567682643,17,0.6812174500641258,1,0,1,0.5504333413398799,90.0217998163313,0.3506076159386984,0.5875320812330433,0.3643201271354506,11,1206,Low
CASE_565,Supreme,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",843,89,23.957202293689758,20,0.7601132889466081,0,1,0,0.26404231516352483,60.89867836905414,0.5391771744455932,0.24659723907007047,0.6767899229108303,17,686,Medium
CASE_566,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1279,37,24.03559078855887,9,0.2702474143631114,0,1,0,0.10997528901292741,48.19377844459672,0.6262710706599408,0.9900561936225433,0.10639802132761778,11,4038,Medium
CASE_567,Supreme,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",909,49,16.795621718550507,46,0.48691538714038074,1,0,0,0.4420819880177338,59.96270707976874,0.00030783011445834063,0.48562314650509086,0.4530678468550321,1,1451,Low
CASE_568,High,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",507,60,20.411749888429163,15,0.4609495334210708,0,1,0,0.9218267371430052,55.231980170658254,0.3115913011062016,0.33940309182492867,0.936550465729892,3,3926,Low
CASE_569,Supreme,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",881,100,16.163925134331528,6,0.7257768959235378,0,0,1,0.5602666973927517,41.160729777782834,0.32384081439026835,0.05163707198019929,0.4390788999612253,17,4488,Medium
CASE_570,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1195,146,22.72559036540273,30,0.5676926249071303,0,1,1,0.35449707176160805,78.07595697413073,0.9799783911695539,0.8797045204155465,0.6620132708196296,5,2441,Medium
CASE_571,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1751,68,23.92861247528567,18,0.19359484382868042,1,1,0,0.9016856413928286,62.83033409895707,0.058802329201058545,0.9493356848049593,0.6110988384428322,15,4498,Low
CASE_572,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1646,92,12.158837768350459,10,0.1210970397034522,0,1,0,0.30712606823590816,32.53799265887294,0.04906507067551402,0.29282320724443756,0.6343348528191505,17,3355,High
CASE_573,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",549,22,14.948685667686249,24,0.10751899484736616,0,1,1,0.1663467818338089,16.651264271860843,0.8411860244462593,0.6053600966417402,0.6949475308448094,12,1541,Low
CASE_574,High,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",400,103,16.351094291850824,6,0.933300626200823,1,1,1,0.6208180071475068,27.79279335671686,0.7525454090364423,0.6042264304973605,0.19627916626045172,8,1940,Medium
CASE_575,High,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1086,27,11.370363438319952,30,0.7666264758613817,0,0,0,0.6248289298767938,45.125560016421495,0.5780998856186739,0.7976582224866202,0.6046267175952348,9,2137,Medium
CASE_576,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1751,87,14.752800216997228,18,0.9830499535968187,1,1,1,0.8498530127292847,99.6751434902858,0.5660042754688978,0.8455290634785474,0.9484099399461104,19,4698,High
CASE_577,Supreme,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1732,136,22.7391806394153,26,0.45223606146539697,0,1,1,0.5757261642852957,78.37548958809289,0.2764184667603936,0.3290092926140762,0.5747813808981871,8,1800,Medium
CASE_578,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",285,73,14.3581869317418,25,0.6615719206464509,1,1,0,0.24048201310366069,75.34349754579253,0.9371952299502435,0.6833968435983269,0.3065302906620616,5,1892,High
CASE_579,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1338,93,20.486255019865915,40,0.7849753807668749,1,0,0,0.9533558293495473,82.7887951536862,0.7280663330601519,0.3387802091627512,0.6336721134780754,18,607,High
CASE_580,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1278,31,16.074298036438524,48,0.32640930199301443,0,0,1,0.8061792878443871,84.07958558290136,0.7386937737027783,0.7404370284684768,0.31499569436890695,9,2805,Low
CASE_581,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",788,110,11.355904161083984,9,0.4469842039356601,0,1,0,0.5375402691462742,6.268791184479728,0.8632323594575741,0.03639112511760034,0.6357936763728231,15,1354,Medium
CASE_582,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",784,34,14.082353760390617,36,0.647529506300655,0,0,1,0.5603356361134654,88.30838179451047,0.48092687613355445,0.30723549640300984,0.27674143522777284,2,2362,High
CASE_583,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1729,82,14.814990788067785,13,0.6857149031750382,0,0,1,0.9723780417327463,31.942366236133356,0.6560804951643916,0.7158094633916942,0.9562040758637008,14,562,High
CASE_584,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",697,69,22.128423246875535,15,0.8831893963002267,0,1,1,0.32966120271620736,33.97808106303851,0.9067706381193485,0.702300600912843,0.34164661728183665,5,2920,High
CASE_585,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1777,75,22.07278205389116,26,0.18350217071263764,1,0,1,0.9100728403705629,6.198645511146205,0.12989977930411745,0.744519697664368,0.1817829684532224,9,3055,High
CASE_586,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",265,44,13.655563102561391,38,0.09262906623120848,0,0,0,0.5922936095475779,69.09487847990597,0.3812973454495582,0.2926093987049604,0.6254278967090946,6,4967,Medium
CASE_587,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1863,146,20.142036840120877,37,0.040001337061697506,1,1,0,0.27681048432070243,34.10011682071763,0.9232612032416121,0.6127835896194768,0.2608061270809766,19,1028,Medium
CASE_588,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1425,60,22.58084277300306,13,0.64268475278616,1,0,0,0.35497398140980474,99.74272065286117,0.29971532678040613,0.9837508144347268,0.5186424755777808,1,4157,Medium
CASE_589,High,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",874,79,10.373863631145813,13,0.7321542083749959,1,1,1,0.7355893234800103,84.62578147738833,0.17486810531535446,0.7789758034806235,0.28327954403188804,17,3560,Medium
CASE_590,Supreme,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",261,92,11.851740985029355,49,0.21938583714546955,0,0,1,0.7929060721509092,14.202776705925446,0.6658256595429216,0.7072268305255561,0.3723584012504988,17,4732,Low
CASE_591,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1083,81,17.339617764118678,46,0.1645618125899717,1,1,0,0.769522563893046,53.56800781321436,0.20997657316091534,0.705040480390826,0.27397405918560214,4,4341,High
CASE_592,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",229,55,14.366763156704845,13,0.473960145745261,0,1,0,0.6656685343303349,69.82267833237438,0.5063306335255269,0.3081710453824815,0.9820750381234735,4,3169,Medium
CASE_593,Supreme,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1681,78,22.600685259665045,5,0.9379206782321895,1,1,1,0.3218174056416372,55.39909507946216,0.5460631555490686,0.1517447010156473,0.5619861377684899,12,874,Low
CASE_594,High,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1630,83,10.222542739135584,9,0.6463588128846854,1,0,1,0.7946028235885474,70.78110275268449,0.40866597015056494,0.33444668942207545,0.33584660174940373,4,4818,Low
CASE_595,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",960,26,20.442845065587587,24,0.3706898800913714,1,0,0,0.8720890584686952,29.27545537849552,0.7155445554810371,0.8166399436025688,0.4699493017936177,17,3041,High
CASE_596,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1855,65,11.138967486490717,9,0.45837651895737996,1,1,0,0.5274729427375573,20.62421350757846,0.9766399614690656,0.5248130387693407,0.34336655125943516,14,4152,High
CASE_597,Supreme,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",625,142,18.782547001120456,8,0.2051162754626128,1,0,0,0.6608214373865914,8.491836578688838,0.3568868335459131,0.36167301785707295,0.7249390873526634,9,4068,Low
CASE_598,Supreme,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",431,15,11.129959016146241,27,0.8473437231374686,1,1,1,0.7063650687116583,37.620576338192436,0.7668205959481558,0.807377782171189,0.6922612065936402,3,3307,Medium
CASE_599,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1702,120,12.674274732828037,23,0.7816523398434764,0,0,0,0.719479544323039,89.16194321410971,0.3985820627283412,0.48505594061200996,0.18309148840177603,3,2291,Medium
CASE_600,District,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1244,96,20.625377732865516,10,0.08734347130191411,0,1,1,0.10063568195696793,98.90861365918944,0.3034813724570373,0.16064552460045656,0.4026102395329554,18,673,Medium
CASE_601,High,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1974,85,21.283630547544398,27,0.8011451809538297,1,0,0,0.9688878383544212,25.539315674705733,0.664023648879608,0.8243479964973481,0.4091789114708345,6,3528,High
CASE_602,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",826,83,23.228467102841815,25,0.8014584917052695,1,1,1,0.0924735442162995,57.71371769029039,0.711080892293105,0.8868409320751635,0.3181150275970758,15,3129,Low
CASE_603,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",221,110,14.702689300532825,11,0.8259533818028371,0,1,1,0.06276323527826089,41.422456640513985,0.3709214716215694,0.4462915711937907,0.061791848692494655,5,1476,Medium
CASE_604,Supreme,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1359,27,15.034142870570989,29,0.6002066123224895,1,0,1,0.9948518681492564,77.45499523186628,0.7739932862480546,0.6621382633129758,0.41379898398192905,1,578,High
CASE_605,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1730,146,20.290641309190548,28,0.6105842577706705,1,0,0,0.38410914217457637,10.80453746555079,0.5773743974523865,0.1964667244893128,0.9593081556217569,10,2961,High
CASE_606,High,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1309,35,20.053777735782575,24,0.7765144068006627,0,1,1,0.030099437879117508,88.4644887734852,0.17964353516776088,0.2514840803972561,0.980203507669912,2,4846,Medium
CASE_607,District,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1472,91,20.036540715379296,21,0.40806142849228744,1,1,0,0.09648630196611119,81.31168404506434,0.6695133784501488,0.7176036170623212,0.6332008876242095,17,2533,Medium
CASE_608,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",742,70,11.804942449494959,6,0.8116395739873774,1,1,1,0.01553482334132672,25.149777628810376,0.3132678303555123,0.7644234362781696,0.053663900350800375,10,2828,Low
CASE_609,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",535,48,17.8184827656671,27,0.7937734383163315,0,0,1,0.9515057920047066,72.94817208448653,0.8255431282006235,0.9223074532751877,0.20140270952777384,12,2750,Low
CASE_610,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1561,145,13.425331462398459,19,0.43982917394037724,0,1,1,0.8980767896184662,34.512811482525294,0.6070332922018229,0.6231670254535977,0.594752787308429,5,1785,Medium
CASE_611,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",498,44,24.05065029635181,20,0.2624865997982627,1,0,0,0.489424728189666,75.83565379550082,0.9310232504607632,0.22064632040665721,0.48181914890371325,8,1332,Medium
CASE_612,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1835,132,12.622806143174559,18,0.3484991078532068,0,1,0,0.31239445419704726,5.323379671781392,0.7751156267503304,0.8185444101621193,0.908616181292877,7,2751,Low
CASE_613,Supreme,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1647,105,16.3370514354951,7,0.2962889579698763,1,1,0,0.564171831163519,26.109432700852466,0.5196745968684731,0.009447535985825595,0.01169287773889549,3,2980,Low
CASE_614,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",437,38,12.839330909810789,38,0.36733604081428395,1,0,1,0.053889311197794165,86.14108407989085,0.16030205237684214,0.9241051519028318,0.34744972144071107,14,1165,Low
CASE_615,District,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",379,75,23.165817929595207,10,0.9533921982744282,0,0,1,0.48535035507858426,68.89165233202313,0.350904589878681,0.9741654628353467,0.3838513496725702,11,1449,Medium
CASE_616,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",674,119,18.06379763572717,46,0.9687798280445473,0,1,1,0.777250426902174,7.654086411301275,0.7120914639362667,0.32689676434794435,0.17934630037065946,11,777,High
CASE_617,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1578,121,14.085042845694742,49,0.242860032580973,1,1,0,0.8256539507464158,7.86620222483495,0.050243824512831936,0.32238500222704114,0.7221477150584481,6,2674,High
CASE_618,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1302,26,11.340912999725445,47,0.8626317984914147,0,1,1,0.3048945424509659,97.45675917127122,0.011050514787421917,0.50469724143578,0.7835318117968997,9,1583,High
CASE_619,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1574,121,19.840865569427997,20,0.7126787413160988,0,0,0,0.6659510291745162,72.31843169604855,0.43967696954313673,0.5556303553934178,0.5004874695731697,7,3428,Low
CASE_620,Supreme,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1616,64,23.833858153293924,21,0.11422130641487105,1,1,1,0.6933729106213089,23.658346088976824,0.9795151123576894,0.9638354660026714,0.880563885501534,14,2061,Medium
CASE_621,High,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1368,115,13.303894773643346,14,0.05651367802262308,0,1,0,0.8691144830094821,38.58519677051492,0.0294016959492035,0.7350010862424458,0.8949972457496891,15,4239,Medium
CASE_622,Supreme,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",503,136,18.948288753425384,16,0.5852065664420047,1,1,1,0.276923383704181,89.18250355215866,0.6983313468592334,0.02953082170601129,0.2461457627433945,6,2017,High
CASE_623,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1846,34,11.724782926547883,38,0.6944524101801278,1,0,1,0.4939345082007943,76.62049129653842,0.4307364802992232,0.3192817919618617,0.8688029673876699,8,1674,High
CASE_624,Supreme,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1410,68,24.14283712029166,31,0.7923333530028204,1,0,0,0.6655373653447272,25.10083024598999,0.6727816976760673,0.23817989638027692,0.27392815567179407,17,1222,Medium
CASE_625,Supreme,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",469,88,16.506467850244007,20,0.20764501350548548,1,1,0,0.5351388150117133,49.40901123472947,0.3120207585016207,0.27708201198664006,0.7586221687950022,14,4091,Medium
CASE_626,District,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",248,128,22.507098531840835,6,0.41506301162641046,1,0,1,0.40131482206035674,34.1328372320577,0.5462858051994588,0.872807353064906,0.744363798898554,15,4734,High
CASE_627,High,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1118,75,16.34634132434412,24,0.07421410752437518,0,0,0,0.11458764267568211,8.545239510699986,0.6469363557634964,0.9665247871742246,0.016739304012358236,9,3798,Medium
CASE_628,Supreme,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1530,120,23.985096296490312,46,0.6570066772528709,1,0,1,0.560621549175395,99.27313398224442,0.13587035001621683,0.6550961874277873,0.7374846101261292,17,4037,High
CASE_629,High,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",345,149,22.136710674997214,40,0.4355378036545354,1,0,1,0.3466204344929148,2.202600769126717,0.7322040057630169,0.18182069158189196,0.4865659994094752,10,2033,Low
CASE_630,Supreme,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1371,70,10.780021784322972,40,0.37513730068309137,0,0,0,0.22511614437280236,43.723693938885674,0.9840690443598451,0.22019124349587593,0.512671228307192,11,2948,Medium
CASE_631,High,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1781,58,14.751461081984363,10,0.6455933090696699,0,0,1,0.3825746368092079,11.912037315525016,0.052187023184517844,0.24785771882521634,0.9506952828176222,19,2109,Low
CASE_632,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1901,10,18.50010633797619,21,0.7873468654831912,1,1,1,0.7808664953215061,60.15027512627292,0.3476343623785244,0.873651695890331,0.6656457706994916,4,1192,Low
CASE_633,Supreme,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1662,69,24.703716114281832,45,0.8807807689908723,1,0,1,0.5920711569231201,37.93000807830887,0.5457994599699626,0.4271313053286875,0.3354593264567166,12,1262,High
CASE_634,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",657,116,23.454933283977656,31,0.8773765289425276,0,1,0,0.7649985500300832,80.36908939471556,0.09041494711192077,0.07919910982415634,0.8342724311218728,4,2759,Medium
CASE_635,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1416,112,22.62019531390922,10,0.5529768569780529,0,1,1,0.004310383080793234,43.77089331024921,0.0642437881162975,0.7809643397019579,0.8501310787798038,19,2470,Low
CASE_636,Supreme,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1949,149,22.306378588254972,34,0.27861045517484107,1,1,0,0.13895197410567417,36.258553534728236,0.08092804941807696,0.0336588700761592,0.34635745536830065,15,3979,Low
CASE_637,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1301,26,12.173556327833756,28,0.1533729771338137,0,1,0,0.0008635711988057571,90.23004992530798,0.8146019247489096,0.3132557679488406,0.011198520296794134,2,4981,High
CASE_638,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1873,91,14.982911662784643,6,0.6938991214328717,1,0,1,0.43606338827750335,33.23600306094392,0.2408869276200345,0.8938720442334652,0.18312309308442964,4,2293,Low
CASE_639,High,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",242,143,21.489930816378195,12,0.10089728769920636,1,1,0,0.3741705849024213,19.714113030108937,0.14730180352200062,0.5374234419115007,0.8563836010962992,19,2180,Medium
CASE_640,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1108,55,12.765617400537806,27,0.9572895602368454,0,1,1,0.2870032817017565,85.86897993262636,0.2066713306955842,0.8816574012176694,0.14309681012407305,3,4625,Low
CASE_641,District,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",660,84,20.612659523092624,27,0.6511960841909488,0,1,1,0.6972684413145528,57.938724021317526,0.43784415281545985,0.5606365449276551,0.023379091415946962,10,3428,Medium
CASE_642,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1164,115,22.194795773122692,40,0.5459983667022288,0,1,1,0.20809560276064543,84.45077106256859,0.05685458301370505,0.434382318154941,0.45065827158580307,15,1900,Low
CASE_643,Supreme,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1895,116,11.755475962950149,48,0.2816613564272725,0,0,1,0.6906640590824833,7.16765543644291,0.5289714820397231,0.1288951242447791,0.17923522498047895,3,846,Low
CASE_644,High,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",516,90,15.42672644250778,23,0.48823003643214236,0,1,0,0.45621393679668365,10.899650882650846,0.7263469626801877,0.06767956800532027,0.7371296558793995,14,2855,High
CASE_645,High,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1009,28,20.069981125999984,49,0.44969115485355127,1,1,0,0.14453335686191715,71.40310555624981,0.4610692152478574,0.6695417091434227,0.40900089383383476,12,4507,Medium
CASE_646,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",1778,114,20.260592050766576,35,0.13102138906265481,0,1,1,0.7870034710972847,48.470350582072065,0.9937407776705639,0.007603428015660163,0.7445971483694405,18,3398,High
CASE_647,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1278,142,18.245314597841016,6,0.9336524559068307,1,0,0,0.3928311977735659,58.35375134990181,0.4685832149379473,0.03563283542187423,0.4752510291962664,15,3198,Low
CASE_648,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",269,119,19.464122246581617,36,0.6756949559136687,1,0,0,0.7406287475302452,69.7056207210104,0.08229556785926129,0.08949540434554115,0.964150492781622,13,4508,Low
CASE_649,High,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",484,52,22.09386113248987,36,0.33388928453532907,0,0,0,0.5795693453719928,39.44479677737941,0.9014045859570831,0.9532541654822083,0.270164283717651,2,2780,High
CASE_650,Supreme,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",1975,53,24.10972855124848,5,0.22203903448923012,1,1,1,0.9922102994314212,76.54642189858087,0.9206393333243201,0.5208405546032514,0.535141188107277,7,1492,Medium
CASE_651,Supreme,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",992,56,18.447382534587977,43,0.06113995714089937,0,1,1,0.02657356927252652,30.830359930214847,0.748688856115583,0.24270815142061986,0.6989324303922338,16,2788,Medium
CASE_652,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",866,72,19.209785434816474,26,0.26676518830333984,0,0,1,0.3215910785807594,13.16657536218272,0.7748396155828492,0.02657594888087267,0.4552280788069025,17,3687,High
CASE_653,District,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",791,149,21.104459521418967,43,0.9909946224247694,1,0,1,0.9530306154323906,76.66961089282505,0.8101223023331736,0.4452198259505471,0.4813021565072694,10,4005,High
CASE_654,High,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",254,84,13.518492809109441,13,0.25437480379533284,0,1,1,0.6007692338613718,91.14564521424349,0.47127435407439777,0.4677142291167147,0.6368115236767568,1,1954,Medium
CASE_655,High,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",240,25,20.519183471437408,26,0.21642996395203906,1,0,1,0.7752508125275014,81.01122925236136,0.5178526925110779,0.8044159171519079,0.34054398895825744,1,3647,High
CASE_656,Supreme,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",503,112,20.902202205361863,36,0.2058500475173165,0,0,1,0.21969373114094437,85.45428967105903,0.04626789110886842,0.17895953148162536,0.8362792824973773,5,845,Medium
CASE_657,Supreme,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1006,94,10.196818904691575,34,0.3390341039393685,1,1,0,0.4925981834046672,27.045451684942744,0.733322060838446,0.021205057024924034,0.5443954361104411,5,4657,High
CASE_658,District,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",491,85,10.078009564183517,25,0.8384305645794204,0,0,0,0.9606470001624361,13.396086949284525,0.9096716016744977,0.803163290839244,0.7378087673066145,18,660,High
CASE_659,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1789,128,24.783530070554306,37,0.4823084176543109,0,0,0,0.8026614079176646,11.937292584820558,0.1350302583128854,0.037510180947446736,0.5467853041084504,18,2939,Low
CASE_660,Supreme,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1309,13,10.222703454249965,30,0.27132290575729745,1,1,0,0.31849299215933413,65.65148234503853,0.8180650572403122,0.09239210782572116,0.02125148680902267,18,714,Low
CASE_661,High,Criminal,"This is a sample legal document discussing obligations, liabilities, and agreements.",1404,140,18.445896320092608,18,0.7092220080391103,1,1,1,0.27193109316203745,48.82048318927483,0.23707088018234812,0.05439415942686321,0.17112005912782036,6,2037,Low
CASE_662,District,Civil,"This is a sample legal document discussing obligations, liabilities, and agreements.",599,93,11.647500241760484,15,0.8944573219122299,0,0,0,0.08921208287880444,59.01659749694142,0.28917579168510454,0.8382908351704857,0.7604967938759619,6,3191,High
CASE_663,Supreme,Corporate,"This is a sample legal document discussing obligations, liabilities, and agreements.",477,106,16.512411073261312,7,0.9795797457346685,0,1,1,0.9072499228539471,39.319045286481725,0.7856038183212328,0.9218550202967675,0.5643278037131734,8,1352,Low
CASE_664,District,Family,"This is a sample legal document discussing obligations, liabilities, and agreements.",1993,19,11.703813956407997,37,0.7674352210745788,0,1,0,0.10575638141209798,49.83868689505986,0.3143123634916286,0.5952726604401432,0.2152027294461295,6,1543,Low
